Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
3123,BIHAR,14,30,7.6,9.7,7.8,8.1,225,516,2,2.9,0,0,700,2200,1700,5000
1080,WEST BENGAL,19,31,5,9.1,7.6,8.3,204,376,1,5.3,0.1,1.8,70000,220000,90000,280000
2511,WEST BENGAL,18.5,34,4.7,9.4,7.3,8.5,172,378,1,3.8,0.2,0.8,70000,130000,90000,170000
2506,WEST BENGAL,20,35,5.1,9.6,7.3,8.5,197,402,1.1,4.9,0.3,1,70000,170000,90000,220000
1054,WEST BENGAL,22,33,4.7,9.4,7.1,8.3,201,388,1.5,5.5,0.3,0.7,90000,220000,110000,280000
1472,WEST BENGAL,19,34,4.6,8.9,7.1,8.3,208,406,2.3,6.3,0.3,1.7,70000,220000,110000,280000
1053,WEST BENGAL,22,35,3.8,8.2,7.6,8.2,125,392,2.3,6.1,0.2,0.6,23000,240000,50000,500000
1471,WEST BENGAL,21,34,3.7,8.5,7.6,8.2,208,391,1.7,9,0.2,0.5,13000,80000,22000,240000
1470,WEST BENGAL,22,36,3.1,8.6,7.6,8.3,198,411,1.5,9.7,0.2,0.5,17000,300000,26000,500000
1052,WEST BENGAL,20,32,2.5,7.1,7.3,8.2,217,783.1,1,6.5,0.2,0.5,4000,110000,11000,220000
1469,WEST BENGAL,22,33,4.4,7.4,7.8,8.4,211,13370,1.5,12,0.3,0.6,4000,30000,8000,50000
1119,HARYANA,26,26,6.4,12.5,7.3,7.9,220,1310,1,12,0,0.4,110,24000,140,35000
1120,DELHI,16.7,32.8,5.1,13.5,7.2,8,214,3860,1,9,0,0,200,24000,490,54000
1121,DELHI,17.1,30.9,0.4,2.6,7.1,7.9,243,2050,4,45,0,0,26000,5400000,240000,9200000
1124,UTTAR PRADESH,22,22,2.8,6.5,7.6,8,650,1978,7,18,0,0.9,680,350000,1400,920000
1126,UTTAR PRADESH,22,33,2.8,16.3,7.1,8.1,825,2040,11,26,0,1.6,40,28000,460,160000
2493,UTTAR PRADESH,18,34,4.8,7.6,7.5,8.2,1090,1720,6,8,0,0,28000,38000,46000,62000
1498,UTTAR PRADESH,23,32,6.2,9.2,7.3,7.9,698,1720,5,24,0,1.4,20,16000,68,43000
1127,UTTAR PRADESH,22,31,6.4,9.6,7.4,7.9,690,1720,3,18,0,2.3,200,79000,490,79000
1499,UTTAR PRADESH,21,29,5.4,10.8,7.2,7.8,350,4060,3,11,0,0.8,230,24000,940,24000
1351,UTTAR PRADESH,18,36,5.4,10.6,7.6,8.5,16,598.3,3.1,3.7,1.3,5.9,780,4000,1700,5400
1352,UTTAR PRADESH,18,35,0.3,4.1,7.4,7.9,572,1085,10,13,1.6,6.8,79000,140000,130000,210000
1353,UTTAR PRADESH,22,33,7.1,8.8,8,8.6,340,588,4,5,0,0,14000,23000,22000,34000
1072,UTTAR PRADESH,21,31,7.4,9.2,7.2,8.4,290,572,3,4.5,0,0,5000,13000,11000,17000
2491,UTTAR PRADESH,13,31,7.2,7.5,7.8,8.2,412,580,3,5.9,0.5,0.7,1700,5400,3500,9200
1355,UTTAR PRADESH,15,31,7.5,8,8,8.2,384,454,2.4,2.9,0.2,0.3,200,800,450,1700
2492,UTTAR PRADESH,14,33,7.1,7.9,7.8,8.3,406,588,2.9,4.5,0.3,0.7,1300,4500,2200,7000
1076,BIHAR,17,30,6.8,9.8,7.1,8.5,216,424,2,2.9,0,0,700,1700,1400,5000
